Name;Type;RA;Declinaison;Const;Hubble
NGC1096;G;02:43:49.29;-59:54:48.3;Hor;SBbc
NGC1097;G;02:46:19.05;-30:16:29.6;For;SBb
NGC1097A;G;02:46:09.9;-30:13:41;For;E
NGC1098;G;02:44:53.67;-17:39:32.9;Eri;E-S0
NGC1099;G;02:45:18.02;-17:42:30.1;Eri;SBb
NGC1100;G;02:45:36.07;-17:41:20.2;Eri;Sa
NGC1101;G;02:48:14.83;+04:34:40.9;Cet;S0
NGC1102;G;02:47:12.90;-22:12:31.8;Eri;SABa
NGC1103;G;02:48:06.00;-13:57:33.2;Eri;SBb
NGC1104;G;02:48:38.69;-00:16:17.5;Cet;Sa
NGC1105;G;02:43:41.98;-15:42:20.1;Cet;Sb
NGC1106;G;02:50:40.51;+41:40:17.4;Per;S0
NGC1107;G;02:49:19.61;+08:05:33.5;Cet;S0
NGC1108;G;02:48:38.54;-07:57:04.0;Eri;E-S0
NGC1109;G;02:47:43.58;+13:15:19.2;Ari;E
NGC1110;G;02:49:09.57;-07:50:15.2;Eri;SBm
NGC1111;G;02:48:39.35;+13:15:34.3;Ari;S0-a
NGC1112;G;02:49:00.37;+13:13:25.5;Ari;Sc
NGC1113;*;02:50:05.05;+13:19:38.7;Ari;
NGC1114;G;02:49:07.20;-16:59:36.1;Eri;Sc
NGC1115;G;02:50:25.38;+13:15:58.4;Ari;S0
NGC1116;G;02:50:35.69;+13:20:06.2;Ari;Sab
NGC1117;G;02:51:13.11;+13:11:07.1;Ari;E
NGC1118;G;02:49:58.67;-12:09:49.4;Eri;S0
NGC1119;G;02:48:17.08;-17:59:15.4;Eri;S0
NGC1120;G;02:49:04.09;-14:28:14.5;Eri;E-S0
NGC1121;G;02:50:39.19;-01:44:02.6;Eri;S0
NGC1122;G;02:52:51.20;+42:12:18.1;Per;SABb
NGC1123;Dup;02:52:51.20;+42:12:18.1;Per;
NGC1124;G;02:51:35.92;-25:42:06.6;For;S0-a
NGC1125;G;02:51:40.27;-16:39:03.7;Eri;S0-a
NGC1126;G;02:52:18.63;-01:17:45.6;Eri;Sb
NGC1127;G;02:52:51.84;+13:15:23.1;Ari;SBab
NGC1128;GPair;02:57:41.57;+06:01:28.8;Cet;
NGC1128 NED01;G;02:57:41.65;+06:01:21.9;Cet;E-S0
NGC1128 NED02;G;02:57:41.56;+06:01:36.9;Cet;E
NGC1129;G;02:54:27.38;+41:34:46.5;Per;E
NGC1130;G;02:54:24.38;+41:36:20.2;Per;E
NGC1131;G;02:54:33.98;+41:33:32.5;Per;E
NGC1132;G;02:52:51.91;-01:16:28.9;Eri;E
NGC1133;G;02:52:42.19;-08:48:15.8;Eri;SBa
NGC1134;G;02:53:41.34;+13:00:50.9;Ari;Sb
NGC1135;G;02:50:47.22;-54:55:46.5;Hor;Scd
NGC1136;G;02:50:53.70;-54:58:33.3;Hor;Sa
NGC1137;G;02:54:02.73;+02:57:43.5;Cet;Sb
NGC1138;G;02:56:36.44;+43:02:50.5;Per;S0
NGC1139;G;02:52:46.81;-14:31:45.6;Eri;S0-a
NGC1140;G;02:54:33.58;-10:01:39.9;Eri;SBm
NGC1141;Dup;02:55:09.71;-00:10:40.3;Cet;
NGC1142;Dup;02:55:12.20;-00:11:00.8;Cet;
NGC1143;G;02:55:09.71;-00:10:40.3;Cet;E
NGC1144;G;02:55:12.20;-00:11:00.8;Cet;E
NGC1145;G;02:54:33.51;-18:38:06.3;Eri;Sc
NGC1146;Other;02:57:37.34;+46:25:37.0;Per;
NGC1147;Other;02:55:09.29;-09:07:10.7;Eri;
NGC1148;G;02:57:04.37;-07:41:08.3;Eri;SBcd
NGC1149;G;02:57:23.87;-00:18:33.9;Cet;E-S0
NGC1150;G;02:57:01.39;-15:02:54.3;Eri;S0
NGC1151;G;02:57:04.63;-15:00:46.9;Eri;E
NGC1152;G;02:57:33.63;-07:45:31.8;Eri;S0
NGC1153;G;02:58:10.28;+03:21:42.9;Cet;S0-a
NGC1154;G;02:58:07.67;-10:21:47.9;Eri;Sc
NGC1155;G;02:58:13.09;-10:21:02.1;Eri;S0
NGC1156;G;02:59:42.30;+25:14:16.2;Ari;IB
NGC1157;G;02:58:06.68;-15:07:06.7;Eri;Sb
NGC1158;G;02:57:11.46;-14:23:43.9;Eri;S0
NGC1159;G;03:00:46.52;+43:09:45.2;Per;Sc
NGC1160;G;03:01:13.25;+44:57:19.5;Per;SBc
NGC1161;G;03:01:14.13;+44:53:50.4;Per;S0
NGC1162;G;02:58:56.00;-12:23:54.9;Eri;E
NGC1163;G;03:00:22.09;-17:09:09.1;Eri;SBbc
NGC1164;G;03:01:59.85;+42:35:05.8;Per;Sab
NGC1165;G;02:58:47.69;-32:05:57.1;For;SBa
NGC1166;G;03:00:35.00;+11:50:34.0;Ari;Sab
NGC1167;G;03:01:42.37;+35:12:20.7;Per;S0
NGC1168;G;03:00:47.02;+11:46:20.3;Ari;SABb
NGC1169;G;03:03:34.75;+46:23:10.9;Per;Sb
NGC1170;Other;03:02:26.89;+27:04:21.6;Ari;
NGC1171;G;03:03:58.99;+43:23:53.9;Per;Sc
NGC1172;G;03:01:36.05;-14:50:11.7;Eri;E
NGC1173;Other;03:03:57.71;+42:23:01.4;Per;
NGC1174;G;03:05:30.86;+42:50:07.8;Per;SBc
NGC1175;G;03:04:32.35;+42:20:21.5;Per;S0-a
NGC1176;*;03:04:34.88;+42:23:36.4;Per;
NGC1177;G;03:04:37.13;+42:21:46.2;Per;E
NGC1178;*;03:04:38.82;+42:18:48.5;Per;
NGC1179;G;03:02:38.48;-18:53:52.0;Eri;Sc
NGC1180;G;03:01:51.04;-15:01:47.4;Eri;E-S0
NGC1181;G;03:01:42.76;-15:03:08.4;Eri;Sb
NGC1182;G;03:03:28.44;-09:40:13.2;Eri;Sa
NGC1183;*;03:04:46.16;+42:22:08.2;Per;
NGC1184;G;03:16:45.03;+80:47:36.0;Cep;S0-a
NGC1185;G;03:02:59.48;-09:07:55.7;Eri;SBb
NGC1186;Dup;03:05:30.86;+42:50:07.8;Per;
NGC1187;G;03:02:37.59;-22:52:01.8;Eri;Sc
NGC1188;G;03:03:43.37;-15:29:04.5;Eri;S0
NGC1189;G;03:03:24.47;-15:37:24.5;Eri;Sd
NGC1190;G;03:03:26.13;-15:39:42.8;Eri;S0-a
NGC1191;G;03:03:30.89;-15:41:07.1;Eri;E-S0
NGC1192;G;03:03:34.63;-15:40:43.8;Eri;E
NGC1193;OCl;03:05:55.67;+44:22:59.2;Per;
NGC1194;G;03:03:49.11;-01:06:13.5;Cet;S0-a
NGC1195;G;03:03:32.81;-12:02:23.2;Eri;E-S0
NGC1196;G;03:03:35.20;-12:04:34.7;Eri;S0
NGC1197;Other;03:06:14.21;+44:03:40.3;Per;
NGC1198;G;03:06:13.24;+41:50:56.2;Per;E
NGC1199;G;03:03:38.41;-15:36:47.5;Eri;E
NGC1200;G;03:03:54.48;-11:59:30.5;Eri;E-S0
NGC1201;G;03:04:07.98;-26:04:10.7;For;E-S0
NGC1202;G;03:05:02.53;-06:29:29.8;Eri;Sb
NGC1203;GPair;03:05:14.20;-14:22:44.0;Eri;
NGC1203A;G;03:05:14.1;-14:22:52;Eri;E
NGC1203B;G;03:05:14.3;-14:22:40;Eri;E
NGC1204;G;03:04:39.92;-12:20:29.0;Eri;S0-a
NGC1205;Dup;03:03:28.44;-09:40:13.2;Eri;
NGC1206;G;03:06:09.74;-08:49:59.4;Eri;E
NGC1207;G;03:08:15.49;+38:22:55.8;Per;Sb
NGC1208;G;03:06:11.91;-09:32:29.1;Eri;S0-a
NGC1209;G;03:06:03.02;-15:36:40.5;Eri;E
NGC1210;G;03:06:45.36;-25:42:59.2;For;S0
NGC1211;G;03:06:52.42;-00:47:40.1;Cet;S0-a
NGC1212;G;03:09:42.23;+40:53:35.1;Per;S0-a
NGC1213;G;03:09:17.31;+38:38:58.0;Per;Sd
NGC1214;G;03:06:56.02;-09:32:39.0;Eri;S0-a
NGC1215;G;03:07:09.46;-09:35:33.6;Eri;Sab
NGC1216;G;03:07:18.54;-09:36:46.1;Eri;S0-a
NGC1217;G;03:06:06.02;-39:02:11.0;For;Sa
NGC1218;G;03:08:26.22;+04:06:39.3;Cet;S0-a
NGC1219;G;03:08:27.97;+02:06:30.9;Cet;Sc
NGC1220;OCl;03:11:40.67;+53:20:53.4;Per;
NGC1221;G;03:08:15.53;-04:15:34.1;Eri;S0-a
NGC1222;G;03:08:56.74;-02:57:18.5;Eri;E-S0
NGC1223;G;03:08:19.93;-04:08:18.2;Eri;E
NGC1224;G;03:11:13.55;+41:21:49.3;Per;E-S0
NGC1225;G;03:08:47.22;-04:06:05.6;Eri;Sbc
NGC1226;G;03:11:05.35;+35:23:12.6;Per;E
NGC1227;G;03:11:07.73;+35:19:29.5;Per;S0-a
NGC1228;G;03:08:11.74;-22:55:22.3;Eri;S0
NGC1229;G;03:08:10.79;-22:57:38.9;Eri;SBbc
NGC1230;G;03:08:16.40;-22:59:02.4;Eri;S0
NGC1231;G;03:06:29.30;-15:34:08.7;Eri;Sc
NGC1232;G;03:09:45.51;-20:34:45.5;Eri;SABc
NGC1232A;G;03:10:01.9;-20:36:02;Eri;SBm
NGC1233;G;03:12:33.11;+39:19:08.1;Per;Sb
NGC1234;G;03:09:39.09;-07:50:46.3;Eri;Sc
NGC1235;Dup;03:12:33.11;+39:19:08.1;Per;
NGC1236;G;03:11:27.99;+10:48:29.8;Ari;E
NGC1237;**;03:10:08.97;-08:41:32.4;Eri;
NGC1238;G;03:10:52.71;-10:44:53.0;Eri;E
NGC1239;G;03:10:53.72;-02:33:11.3;Eri;S0
NGC1240;**;03:13:26.68;+30:30:25.8;Ari;
NGC1241;G;03:11:14.64;-08:55:19.7;Eri;SBb
NGC1242;G;03:11:19.32;-08:54:08.7;Eri;SBc
NGC1243;**;03:11:25.46;-08:56:43.0;Eri;
NGC1244;G;03:06:31.09;-66:46:32.2;Hor;Sab
NGC1245;OCl;03:14:41.46;+47:14:19.3;Per;
NGC1246;G;03:07:02.09;-66:56:19.1;Hor;E
NGC1247;G;03:12:14.32;-10:28:52.0;Eri;Sbc
NGC1248;G;03:12:48.56;-05:13:28.9;Eri;S0
NGC1249;G;03:10:01.23;-53:20:08.7;Hor;SBc
NGC1250;G;03:15:21.10;+41:21:19.5;Per;S0
NGC1251;**;03:14:09.11;+01:27:23.5;Cet;
NGC1252;OCl;03:10:44.30;-57:45:31.0;Hor;
NGC1253;G;03:14:09.05;-02:49:22.6;Eri;SABc
NGC1253A;G;03:14:23.3;-02:48:03;Eri;SBm
NGC1254;G;03:14:24.05;+02:40:38.5;Cet;E-S0
NGC1255;G;03:13:32.04;-25:43:30.6;For;SABb
NGC1256;G;03:13:58.27;-21:59:11.1;Eri;E-S0
NGC1257;**;03:16:59.55;+41:31:44.6;Per;
NGC1258;G;03:14:05.47;-21:46:27.4;Eri;SABc
NGC1259;G;03:17:17.28;+41:23:07.8;Per;E-S0
NGC1260;G;03:17:27.24;+41:24:18.8;Per;S0-a
NGC1261;GCl;03:12:15.34;-55:13:00.5;Hor;
NGC1262;G;03:15:33.58;-15:52:45.5;Eri;SABc
NGC1263;G;03:15:39.56;-15:05:53.9;Eri;S0-a
NGC1264;G;03:17:59.57;+41:31:13.0;Per;SBab
NGC1265;G;03:18:15.66;+41:51:27.9;Per;E
NGC1266;G;03:16:00.75;-02:25:38.5;Eri;S0
NGC1267;G;03:18:44.92;+41:28:03.8;Per;E
NGC1268;G;03:18:45.16;+41:29:19.3;Per;SABb
NGC1269;G;03:17:18.59;-41:06:29.0;Eri;S0-a
NGC1270;G;03:18:58.15;+41:28:12.0;Per;E
NGC1271;G;03:19:11.28;+41:21:11.7;Per;S0
NGC1272;G;03:19:21.29;+41:29:26.3;Per;E
NGC1273;G;03:19:26.74;+41:32:25.9;Per;S0
NGC1274;G;03:19:40.55;+41:32:55.1;Per;E
NGC1275;G;03:19:48.16;+41:30:42.1;Per;S0
NGC1276;**;03:19:51.21;+41:38:31.1;Per;
NGC1277;G;03:19:51.49;+41:34:24.7;Per;S0-a
NGC1278;G;03:19:54.15;+41:33:48.2;Per;E
NGC1279;G;03:19:59.07;+41:28:46.3;Per;S0
NGC1280;G;03:17:57.07;-00:10:08.7;Cet;Sc
NGC1281;G;03:20:06.11;+41:37:48.1;Per;E
NGC1282;G;03:20:12.12;+41:22:01.2;Per;E
NGC1283;G;03:20:15.52;+41:23:55.2;Per;E
NGC1284;G;03:17:45.51;-10:17:20.7;Eri;S0
NGC1285;G;03:17:53.43;-07:17:52.1;Eri;Sb
NGC1286;G;03:17:48.53;-07:37:00.7;Eri;S0
NGC1287;G;03:18:33.47;-02:43:51.0;Eri;Sa
NGC1288;G;03:17:13.19;-32:34:33.2;For;SABc
NGC1289;G;03:18:49.81;-01:58:24.0;Eri;S0
NGC1290;G;03:19:25.17;-13:59:22.6;Eri;
NGC1291;Dup;03:17:18.59;-41:06:29.0;Eri;
NGC1292;G;03:18:14.89;-27:36:37.2;For;Sc
NGC1293;G;03:21:36.46;+41:23:34.2;Per;E
NGC1294;G;03:21:39.96;+41:21:38.0;Per;E-S0
NGC1295;G;03:20:03.30;-13:59:53.7;Eri;S0-a
NGC1296;G;03:18:49.71;-13:03:44.8;Eri;SBab
NGC1297;G;03:19:14.22;-19:06:00.0;Eri;E-S0
NGC1298;G;03:20:13.08;-02:06:50.8;Eri;E
NGC1299;G;03:20:09.68;-06:15:43.2;Eri;SBb
NGC1300;G;03:19:41.08;-19:24:40.9;Eri;Sbc
NGC1301;G;03:20:35.33;-18:42:55.2;Eri;SBbc
NGC1302;G;03:19:51.18;-26:03:37.6;For;S0-a
NGC1303;G;03:20:40.79;-07:23:39.9;Eri;S0
NGC1304;G;03:21:12.78;-04:35:02.7;Eri;E-S0
NGC1305;G;03:21:22.97;-02:19:00.6;Eri;E-S0
NGC1306;G;03:21:02.99;-25:30:45.2;For;Sb
NGC1307;Dup;03:21:12.78;-04:35:02.7;Eri;
NGC1308;G;03:22:28.54;-02:45:25.7;Eri;S0-a
NGC1309;G;03:22:06.56;-15:24:00.2;Eri;Sbc
NGC1310;G;03:21:03.43;-37:06:06.1;For;Sc
NGC1311;G;03:20:06.96;-52:11:07.9;Hor;SBm
NGC1312;**;03:23:41.73;+01:11:04.8;Tau;
NGC1313;G;03:18:16.05;-66:29:53.7;Ret;SBcd
NGC1313A;G;03:20:05.7;-66:42:04;Ret;SBb
NGC1314;G;03:22:41.16;-04:11:11.6;Eri;Scd
NGC1315;G;03:23:06.59;-21:22:30.6;Eri;S0-a
NGC1316;G;03:22:41.72;-37:12:29.6;For;S0
NGC1316A;G;03:23:37.9;-36:54:14;For;Sb
NGC1316B;G;03:23:39.6;-36:54:30;For;Sb
NGC1316C;G;03:24:58.4;-37:00:34;For;S0-a
NGC1317;G;03:22:44.29;-37:06:13.3;For;SABa
NGC1318;Dup;03:22:44.29;-37:06:13.3;For;
NGC1319;G;03:23:56.46;-21:31:39.8;Eri;S0
NGC1320;G;03:24:48.70;-03:02:32.2;Eri;Sa
NGC1321;G;03:24:48.57;-03:00:56.1;Eri;Sa
NGC1322;G;03:24:54.71;-02:55:09.2;Eri;E-S0
NGC1323;G;03:24:56.08;-02:49:19.5;Eri;S0
NGC1324;G;03:25:01.68;-05:44:44.9;Eri;Sb
NGC1325;G;03:24:25.57;-21:32:38.5;Eri;SBbc
NGC1325A;G;03:24:48.5;-21:20:10;Eri;Scd
NGC1326;G;03:23:56.40;-36:27:52.8;For;S0-a
NGC1326A;G;03:25:08.5;-36:21:50;For;Sm
NGC1326B;G;03:25:20.3;-36:23:06;For;SBm
NGC1327;G;03:25:23.11;-25:40:49.0;For;SBb
NGC1328;G;03:25:39.10;-04:07:29.8;Eri;S0
NGC1329;G;03:26:02.59;-17:35:29.4;Eri;Sa
NGC1330;Other;03:29:04.47;+41:40:30.9;Per;
NGC1331;G;03:26:28.29;-21:21:19.1;Eri;E
NGC1332;G;03:26:17.25;-21:20:06.8;Eri;E-S0
NGC1333;Cl+N;03:28:55.2;+31:22:12;Per;
NGC1334;G;03:30:01.84;+41:49:55.3;Per;Sbc
NGC1335;G;03:30:19.49;+41:34:21.9;Per;E-S0
NGC1336;G;03:26:32.19;-35:42:48.8;For;E-S0
NGC1337;G;03:28:05.96;-08:23:19.0;Eri;SBc
NGC1338;G;03:28:54.55;-12:09:12.1;Eri;SABb
NGC1339;G;03:28:06.58;-32:17:10.0;For;E
NGC1340;G;03:28:19.67;-31:04:05.4;For;E
NGC1341;G;03:27:58.42;-37:09:00.0;For;Sa
NGC1342;OCl;03:31:40.12;+37:22:45.8;Per;
NGC1343;G;03:37:49.70;+72:34:16.8;Cas;SABb
NGC1344;Dup;03:28:19.67;-31:04:05.4;For;
NGC1345;G;03:29:31.69;-17:46:42.2;Eri;Sc
NGC1346;G;03:30:13.27;-05:32:35.9;Eri;Sb
NGC1347;GPair;03:29:41.50;-22:17:06.0;Eri;
NGC1347 NED01;G;03:29:41.80;-22:16:44.9;Eri;Sc
NGC1347 NED02;G;03:29:41.19;-22:17:27.6;Eri;
NGC1348;OCl;03:34:08.49;+51:25:13.9;Per;
NGC1349;G;03:31:27.50;+04:22:51.0;Tau;S0
NGC1350;G;03:31:08.12;-33:37:43.1;For;Sab
NGC1351;G;03:30:34.98;-34:51:14.2;For;E-S0
NGC1351A;G;03:28:48.7;-35:10:41;For;SBbc
NGC1352;G;03:31:32.98;-19:16:42.4;Eri;S0
NGC1353;G;03:32:03.02;-20:49:09.0;Eri;Sb
NGC1354;G;03:32:29.37;-15:13:16.1;Eri;S0-a
NGC1355;G;03:33:23.50;-04:59:55.3;Eri;S0
NGC1356;G;03:30:40.79;-50:18:34.6;Hor;Sbc
NGC1357;G;03:33:17.08;-13:39:50.9;Eri;Sab
NGC1358;G;03:33:39.67;-05:05:21.8;Eri;S0-a
NGC1359;G;03:33:47.71;-19:29:31.4;Eri;Sm
NGC1360;PN;03:33:14.65;-25:52:18.2;For;
NGC1361;G;03:34:17.74;-06:15:54.0;Eri;E-S0
NGC1362;G;03:33:53.08;-20:16:57.5;Eri;S0
NGC1363;G;03:34:49.57;-09:50:32.9;Eri;Sbc
NGC1364;G;03:34:58.98;-09:50:19.1;Eri;Scd
NGC1365;G;03:33:36.37;-36:08:25.4;For;Sb
NGC1366;G;03:33:53.68;-31:11:38.8;For;S0
NGC1367;G;03:35:01.34;-24:55:59.6;For;Sa
NGC1368;G;03:34:58.90;-15:39:21.3;Eri;S0-a
NGC1369;G;03:36:45.25;-36:15:22.4;Eri;S0-a
NGC1370;G;03:35:14.57;-20:22:25.2;Eri;E
NGC1371;Dup;03:35:01.34;-24:55:59.6;For;
NGC1372;G;03:36:59.74;-15:52:53.3;Eri;E
NGC1373;G;03:34:59.21;-35:10:16.0;For;E
NGC1374;G;03:35:16.59;-35:13:34.5;For;E
NGC1375;G;03:35:16.82;-35:15:56.4;For;S0
NGC1376;G;03:37:05.92;-05:02:33.9;Eri;Sc
NGC1377;G;03:36:39.08;-20:54:08.1;Eri;S0
NGC1378;**;03:35:58.20;-35:12:40.2;For;
NGC1379;G;03:36:03.95;-35:26:28.3;For;E
NGC1380;G;03:36:27.59;-34:58:34.4;For;S0
NGC1380A;G;03:36:47.5;-34:44:23;For;S0
NGC1380B;Dup;03:37:08.96;-35:11:42.1;For;
NGC1381;G;03:36:31.68;-35:17:42.7;For;S0
NGC1382;G;03:37:08.96;-35:11:42.1;For;E-S0
NGC1383;G;03:37:39.24;-18:20:22.1;Eri;S0
NGC1384;G;03:39:13.59;+15:49:10.4;Tau;SBc
NGC1385;G;03:37:28.85;-24:30:01.1;For;Sc
NGC1386;G;03:36:46.18;-35:59:57.9;Eri;S0-a
NGC1387;G;03:36:57.06;-35:30:23.9;For;E-S0
NGC1388;G;03:38:12.01;-15:53:57.9;Eri;E
NGC1389;G;03:37:11.78;-35:44:44.1;Eri;E-S0
NGC1390;G;03:37:52.17;-19:00:30.1;Eri;S0-a
NGC1391;G;03:38:52.96;-18:21:14.8;Eri;S0
NGC1392;G;03:37:47.01;-36:08:50.7;Eri;Sc
NGC1393;G;03:38:38.58;-18:25:40.7;Eri;S0
NGC1394;G;03:39:06.92;-18:17:32.2;Eri;S0
NGC1395;G;03:38:29.75;-23:01:39.1;Eri;E
NGC1396;G;03:38:06.54;-35:26:24.4;For;E-S0
NGC1397;G;03:39:47.15;-04:40:12.4;Eri;S0-a
NGC1398;G;03:38:52.13;-26:20:16.2;For;SBab
NGC1399;G;03:38:29.03;-35:27:02.4;For;E
NGC1400;G;03:39:30.84;-18:41:17.1;Eri;E
NGC1401;G;03:39:21.85;-22:43:28.9;Eri;S0
NGC1402;G;03:39:30.57;-18:31:37.0;Eri;S0
NGC1403;G;03:39:10.84;-22:23:19.5;Eri;E-S0
NGC1404;G;03:38:51.92;-35:35:39.8;Eri;E
NGC1405;G;03:40:18.93;-15:31:48.7;Eri;S0
NGC1406;G;03:39:23.30;-31:19:17.1;For;SBbc
NGC1407;G;03:40:11.86;-18:34:48.4;Eri;E
NGC1408;**;03:39:17.28;-35:30:03.0;For;
NGC1409;G;03:41:10.43;-01:18:09.2;Tau;S0
NGC1410;G;03:41:10.75;-01:17:55.6;Tau;E
NGC1411;G;03:38:44.87;-44:06:02.2;Hor;E-S0
NGC1412;G;03:40:29.37;-26:51:44.1;For;S0
NGC1413;G;03:40:11.55;-15:36:38.8;Eri;E
NGC1414;G;03:40:57.04;-21:42:47.3;Eri;SBbc
NGC1415;G;03:40:56.86;-22:33:52.1;Eri;S0-a
NGC1416;G;03:41:02.89;-22:43:08.8;Eri;E
NGC1417;G;03:41:57.42;-04:42:17.5;Eri;SABb
NGC1418;G;03:42:16.16;-04:43:50.7;Eri;SBb
NGC1419;G;03:40:42.11;-37:30:39.0;Eri;E
NGC1420;Other;03:42:39.84;-05:51:09.2;Eri;
NGC1421;G;03:42:29.28;-13:29:16.9;Eri;Sbc
NGC1422;G;03:41:31.07;-21:40:53.5;Eri;SBab
NGC1423;G;03:42:40.10;-06:22:54.6;Eri;SABa
NGC1424;G;03:43:14.04;-04:43:48.3;Eri;SABb
NGC1425;G;03:42:11.47;-29:53:36.0;For;Sb
NGC1426;G;03:42:49.11;-22:06:30.1;Eri;E
NGC1427;G;03:42:19.42;-35:23:33.2;For;E
NGC1427A;G;03:40:09.3;-35:37:28;Eri;IB
NGC1428;G;03:42:22.73;-35:09:14.4;For;E-S0
NGC1429;Other;03:44:04.12;-04:43:05.2;Eri;
NGC1430;*;03:43:25.22;-18:13:30.3;Eri;
NGC1431;G;03:44:40.80;+02:50:05.8;Tau;S0-a
NGC1432;HII;03:45:49.59;+24:22:04.3;Tau;
NGC1433;G;03:42:01.55;-47:13:19.5;Hor;SBa
NGC1434;G;03:46:12.87;-09:40:57.4;Eri;S0-a
NGC1435;Neb;03:46:10.09;+23:45:53.9;Tau;
NGC1436;G;03:43:37.08;-35:51:10.9;Eri;Sab
NGC1437;Dup;03:43:37.08;-35:51:10.9;Eri;
NGC1437B;G;03:45:54.8;-36:21:25;Eri;Sd
NGC1438;G;03:45:17.23;-23:00:08.9;Eri;Sa
NGC1439;G;03:44:49.95;-21:55:14.0;Eri;E
NGC1440;G;03:45:02.91;-18:15:57.7;Eri;S0
NGC1441;G;03:45:43.12;-04:05:29.7;Eri;SBb
NGC1442;Dup;03:45:02.91;-18:15:57.7;Eri;
NGC1443;*;03:45:53.04;-04:03:09.8;Eri;
NGC1444;OCl;03:49:28.88;+52:39:19.2;Per;
NGC1445;G;03:44:56.22;-09:51:21.1;Eri;S0
NGC1446;*;03:45:57.46;-04:06:43.8;Eri;
NGC1447;G;03:45:47.15;-09:01:07.3;Eri;S0
NGC1448;G;03:44:31.92;-44:38:41.4;Hor;Sc
NGC1449;G;03:46:03.07;-04:08:17.2;Eri;S0
NGC1450;G;03:45:36.64;-09:14:05.5;Eri;E-S0
NGC1451;G;03:46:07.16;-04:04:09.1;Eri;E-S0
NGC1452;G;03:45:22.31;-18:38:01.1;Eri;S0-a
NGC1453;G;03:46:27.25;-03:58:07.6;Eri;E
NGC1454;*;03:45:59.34;-20:39:08.3;Eri;
NGC1455;Dup;03:45:22.31;-18:38:01.1;Eri;
NGC1456;**;03:48:08.25;+22:33:31.0;Tau;
NGC1457;Dup;03:44:31.92;-44:38:41.4;Hor;
NGC1458;Other;03:46:58.31;-18:14:28.1;Eri;
NGC1459;G;03:46:57.94;-25:31:18.3;For;SBbc
NGC1460;G;03:46:13.74;-36:41:46.8;Eri;S0
NGC1461;G;03:48:27.14;-16:23:34.4;Eri;S0
NGC1462;G;03:50:23.43;+06:58:23.0;Tau;Sc
NGC1463;G;03:46:15.42;-59:48:36.5;Ret;Sa
NGC1464;G;03:51:24.52;-15:24:08.1;Eri;Scd
NGC1465;G;03:53:31.91;+32:29:34.1;Per;S0-a
NGC1466;GCl;03:44:33.35;-71:40:17.7;Hyi;
NGC1467;G;03:51:52.80;-08:50:17.5;Eri;S0-a
NGC1468;G;03:52:12.58;-06:20:56.2;Eri;E-S0
NGC1469;G;04:00:27.77;+68:34:39.8;Cam;E-S0
NGC1470;G;03:52:09.84;-08:59:57.7;Eri;Sab
NGC1471;Dup;03:51:24.52;-15:24:08.1;Eri;
NGC1472;G;03:53:47.35;-08:34:06.5;Eri;S0
NGC1473;G;03:47:26.30;-68:13:14.1;Hyi;IB
NGC1474;G;03:54:30.35;+10:42:25.2;Tau;Sa
NGC1475;G;03:53:49.83;-08:08:15.0;Eri;
NGC1476;G;03:52:08.79;-44:31:56.9;Hor;Sa
NGC1477;G;03:54:02.88;-08:34:29.9;Eri;E
NGC1478;G;03:54:07.34;-08:33:19.5;Eri;S0
NGC1479;Other;03:54:20.44;-10:12:31.0;Eri;
NGC1480;Other;03:54:32.38;-10:15:31.8;Eri;
NGC1481;G;03:54:28.96;-20:25:37.8;Eri;E-S0
NGC1482;G;03:54:38.96;-20:30:09.6;Eri;S0-a
NGC1483;G;03:52:47.64;-47:28:39.1;Hor;SBbc
NGC1484;G;03:54:20.13;-36:58:08.0;Eri;SBb
NGC1485;G;04:05:03.94;+70:59:47.5;Cam;Sb
NGC1486;G;03:56:18.70;-21:49:16.1;Eri;SABb
NGC1487;GPair;03:55:46.10;-42:22:05.0;Eri;
NGC1487 NED01;G;03:55:45.37;-42:22:03.7;Eri;I
NGC1487 NED02;G;03:55:47.17;-42:22:06.9;Eri;S?
NGC1488;**;04:00:04.33;+18:34:02.3;Tau;
NGC1489;G;03:57:38.10;-19:12:59.9;Eri;SBb
NGC1490;G;03:53:34.22;-66:01:05.0;Ret;E
NGC1491;HII;04:03:13.56;+51:18:57.9;Per;
NGC1492;G;03:58:13.13;-35:26:46.9;Eri;Sa
NGC1493;G;03:57:27.43;-46:12:38.5;Hor;SBc
NGC1494;G;03:57:42.90;-48:54:29.1;Hor;Scd
NGC1495;G;03:58:21.82;-44:27:58.5;Hor;Sc
NGC1496;OCl;04:04:31.89;+52:39:41.0;Per;
NGC1497;G;04:02:06.82;+23:07:58.5;Tau;S0
NGC1498;OCl;04:00:19.30;-12:01:11.0;Eri;
NGC1499;Neb;04:03:14.42;+36:22:02.9;Per;
NGC1500;G;03:58:13.97;-52:19:41.4;Dor;E
NGC1501;PN;04:06:59.37;+60:55:14.5;Cam;
NGC1502;OCl;04:07:49.30;+62:19:53.5;Cam;
NGC1503;G;03:56:33.24;-66:02:26.4;Ret;S0-a
NGC1504;G;04:02:29.70;-09:20:07.4;Eri;E-S0
NGC1505;G;04:02:36.40;-09:19:20.7;Eri;S0
NGC1506;G;04:00:21.57;-52:34:25.4;Dor;E-S0
NGC1507;G;04:04:27.21;-02:11:18.9;Eri;SBd
